"COUNTY","DATE","POPULATION","CUMDEATHS","NEWDEATHS","Online_Only","Hybrid","On_Premises","major_teaching","major_teaching_prop","Population.density","NCHS.Urban.Rural.Status","major_opendate","opendate_prop"
"ADAMS",2020-06-09,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-06-10,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-06-11,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-06-12,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-06-13,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-06-14,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-06-15,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-06-16,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-06-17,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-06-18,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-06-19,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-06-20,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-06-21,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-06-22,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-06-23,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-06-24,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-06-25,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-06-26,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-06-27,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-06-28,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-06-29,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-06-30,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-07-01,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-07-02,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-07-03,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-07-04,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-07-05,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-07-06,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-07-07,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-07-08,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-07-09,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-07-10,27960,1,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-07-11,27960,2,1,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-07-12,27960,2,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
"ADAMS",2020-07-13,27960,2,0,0,1,0,"Hybrid",1,47.44,"Noncore","2020-08-19",0.812700964630225
