"","COUNTY","time_value","work_prop_7d","work_std","work_sample_size"
"146","MORGAN",2020-01-23,0.08305307637153,0.0060942009124884,105
"147","MORROW",2020-01-23,0.095705857407603,0.0036000682629024,161
"148","MUSKINGUM",2020-01-23,0.10038789656165,0.0025172943986668,525
"149","NOBLE",2020-01-23,0.096516038469032,0.0062597850370971,84
"150","OTTAWA",2020-01-23,0.085791564485583,0.0029855225649306,301
"151","PAULDING",2020-01-23,0.1028346045302,0.0048912480973207,119
"152","PERRY",2020-01-23,0.095142002827836,0.0037946408166582,196
"153","PICKAWAY",2020-01-23,0.10455558550984,0.0034676873916368,250
"154","PIKE",2020-01-23,0.10197243273864,0.004807456928249,154
"155","PORTAGE",2020-01-23,0.098551611871012,0.0019066438591257,707
"156","PREBLE",2020-01-23,0.1205200284216,0.0040035092599155,238
"157","PUTNAM",2020-01-23,0.10446603708129,0.0040796889520458,189
"158","RICHLAND",2020-01-23,0.091697234000764,0.0021921505562947,665
"159","ROSS",2020-01-23,0.098656365339761,0.0028536136460113,434
"160","SANDUSKY",2020-01-23,0.089729493542496,0.0027162610017361,413
"161","SCIOTO",2020-01-23,0.092683376346095,0.0024653152638602,511
"162","SENECA",2020-01-23,0.10035877736706,0.0031623527129478,399
"163","SHELBY",2020-01-23,0.104292300536,0.0038015860384604,273
"164","STARK",2020-01-23,0.096271042601375,0.0013227956515395,1932
"165","SUMMIT",2020-01-23,0.09316998958052,0.0010420906350888,3157
"166","TRUMBULL",2020-01-23,0.088248473352032,0.0016118639682871,1351
"167","TUSCARAWAS",2020-01-23,0.10326573690135,0.0024590359078077,539
"168","UNION",2020-01-23,0.11947364571461,0.0040492163332224,203
"169","VAN WERT",2020-01-23,0.11816822542003,0.004352396594028,196
"170","VINTON",2020-01-23,0.10303200538684,0.0065817788608703,84
"171","WARREN",2020-01-23,0.1202649110718,0.0021799997930546,756
"172","WASHINGTON",2020-01-23,0.097745509109088,0.0030988978864273,329
"173","WAYNE",2020-01-23,0.10267639571728,0.0025153475205028,581
"174","WILLIAMS",2020-01-23,0.090655291366621,0.0032616508952555,252
"175","WOOD",2020-01-23,0.10948220964369,0.0024032772571023,630
"176","WYANDOT",2020-01-23,0.099240979839012,0.0049807704791589,154
"177","ADAMS",2020-01-24,0.083994447958023,0.0040804387339591,154
"178","ALLEN",2020-01-24,0.08817763938764,0.0022810851488121,640
"179","ASHLAND",2020-01-24,0.1054383838177,0.0033137737058796,308
"180","ASHTABULA",2020-01-24,0.079291303423014,0.0019571286626152,651
"181","ATHENS",2020-01-24,0.091646027798279,0.0031244523739408,336
"182","AUGLAIZE",2020-01-24,0.10874732696056,0.0036881684485386,287
"183","BELMONT",2020-01-24,0.095433337337525,0.0027064950973446,476
"184","BROWN",2020-01-24,0.1060731470717,0.0045090008280578,224
"185","BUTLER",2020-01-24,0.10580811878008,0.0014159450400342,1869
"186","CARROLL",2020-01-24,0.10244698834396,0.0048500064256585,175
"187","CHAMPAIGN",2020-01-24,0.10262730351822,0.003761395172701,238
"188","CLARK",2020-01-24,0.091403864272854,0.0018810780557386,952
"189","CLERMONT",2020-01-24,0.11384065750375,0.0019954399390921,819
"190","CLINTON",2020-01-24,0.10359911436064,0.0038097157364245,224
"191","COLUMBIANA",2020-01-24,0.093565604079558,0.0021842921318816,658
"192","COSHOCTON",2020-01-24,0.09639761121086,0.0039181376008639,231
